Job_Id,Company_Id,Location,Designation,Details_Id
1157,2157,Dharmsala,Healthcare Manager,3157
1158,2158,Gurgaon,Hiring Website Manager_Reputed Retail Industry_Gurgaon,3158
1159,2159,Jaipur,Hospital Business Manager,3159
1160,2160,Coimbatore,housekeeping staff,3160
1161,2161,Rajkot,HR Recruiter,3161
1162,2162,Bengaluru,Human Resources (HR) ,3162
1163,2163,Chennai,Human Resources (HR) ,3163
1164,2164,Gurgaon,Human Resources (HR) ,3164
1165,2165,Gurgaon,Human Resources (HR) ,3165
1166,2166,Hyderabad,Human Resources (HR) ,3166
1167,2167,Indore,Human Resources (HR) ,3167
1168,2168,Noida,Human Resources (HR) ,3168
1169,2169,Ahmedabad,Human Resources (HR) ,3169
1170,2170,Chennai,Ideas2it - Blockchain Developer ,3170
1171,2171,Pune,Incident Manager,3171
1172,2172,Ahmedabad,IndiaNi-Business Analyst,3172
1173,2173,Mumbai,Influencer Marketing ,3173
1174,2174,Bengaluru,Information Technology Operations Analyst,3174
1175,2175,Gurgaon,Inside Sales,3175
1176,2176,Noida,Integrated Digital Marketing/Email Marketing,3176
1177,2177,Bengaluru,International Business Development,3177
1178,2178,Mumbai,Key Account Manager,3178
1179,2179,Mumbai,Key Account Manager,3179
1180,2180,Delhi,Law/Legal ,3180
1181,2181,Mumbai,Law/Legal ,3181
1182,2182,Navi Mumbai,Lead - Credit Research,3182
1183,2183,Pune,Lead Business Analyst ,3183
1184,2184,Hyderabad,Lead Engineer,3184
1185,2185,Hyderabad,Lead-Data Analytics,3185
1186,2186,Hyderabad,Lead-New Hire Training,3186
1187,2187,Bengaluru,LinkedIn Marketing ,3187
1188,2188,Indore,Management Trainee,3188
1189,2189,Gurgaon,Management Trainee ,3189
1190,2190,Mumbai,Manager Digital Marketing,3190
1191,2191,Mumbai,Manager-Bussiness Analytics,3191
1192,2192,Chennai,MANAGING PARTNER ,3192
1193,2193,Mumbai,Market Research,3193
1194,2194,Noida,Marketing ,3194
1195,2195,Chennai,Marketing & Client Relationship Management,3195
1196,2196,Greater Kolkata Area,Marketing And Business Development ,3196
1197,2197,Pune,Marketing Executive,3197
1198,2198,Mumbai,Marketing Manager,3198
1199,2199,Jaipur,Marketing Manager,3199
1200,2200,Maharashtra,Marketing Manager,3200
1201,2201,Gurgaon,Media & public Relations,3201
1202,2202,Karaikal,Mediacal Coding Jobs,3202
1203,2203,Greater Kolkata Area,Medical Representative,3203
1204,2204,Greater Kolkata Area,Merchandiser,3204
1205,2205,Mumbai,Microcontrollers ,3205
1206,2206,Mumbai,NET & Oracle Developer,3206
1207,2207,Mumbai,NET & SQL Developer,3207
1208,2208,Pune,NFT Analyst,3208
1209,2209,Gurgaon,Operations ,3209
1210,2210,Mumbai,Operations Executive,3210
1211,2211,Delhi,Operations Internship in Delhi at INGLU,3211
1212,2212,Delhi,"Operations Internship in Delhi, Noida at Buddy4Study",3212
1213,2213,Mumbai,Operations Internship in Mumbai at Janaswamy Associates,3213
1214,2214,Mumbai,Operations Internship in Mumbai at Nextyn,3214
1215,2215,Gurgaon,Operations Support,3215
1216,2216,Noida,Opkey - UI Developer - HTML/CSS,3216
1217,2217,Pune,Order Management,3217
1218,2218,Delhi,Performance Marketing Assistant,3218
1219,2219,Hyderabad,Phone Banking Officer,3219
1220,2220,Delhi,Photography,3220
1221,2221,Indore,PHP Development,3221
1222,2222,Bengaluru,Power BI ,3222
1223,2223,Bengaluru,Product Design,3223
1224,2224,Mumbai,Product Marketing,3224
1225,2225,Mumbai,Professional-Research Business Research,3225
1226,2226,Mumbai,Prof-Research Investment Banking,3226
1227,2227,Chennai,Program manager,3227
1228,2228,Mumbai,Program Manager ,3228
1229,2229,Bengaluru,Project Analyst,3229
1230,2230,Pune,Project Manager,3230
1231,2231,Gurgaon,Project Manager,3231
1232,2232,Hyderabad,Project Manager ,3232
1233,2233,Bengaluru,Project Manager ,3233
1234,2234,Mumbai,Psychology ,3234
1235,2235,Jamnagar,Public Health Specialist,3235
1236,2236,Pune,Python  Developer,3236
1237,2237,Indore,Quality Analyst,3237
1238,2238,Mumbai,Regional Business Head,3238
1239,2239,Amaravati,Regional Coordinator,3239
1240,2240,Delhi,Relationship Manager,3240
1241,2241,Tiruvalla,Relationship Manager,3241
1242,2242,Mumbai,Relationship Manager ,3242
1243,2243,Indore,Research Analyst,3243
1244,2244,Pune,Research Associate ,3244
1245,2245,New Delhi,Rewards Specialist,3245
1246,2246,Chennai,RPA Developer,3246
1247,2247,Chennai,RPA Developer,3247
1248,2248,Chennai,RPA Developer,3248
1249,2249,Chennai,RPA Developer,3249
1250,2250,Uttarakhand,Rubico IT - Cloud Infrastructure Administrator,3250
1251,2251,Dehradun,Rubico IT - Wordpress Developer - Web Applications,3251
1252,2252,Mumbai,Sales And  Marketing ,3252
1253,2253,Navi Mumbai,Sales And Marketing,3253
1254,2254,Pune,SAM8 Business Analyst,3254
1255,2255,Chennai,SDE,3255
1256,2256,Mumbai,SDR Manager ,3256
1257,2257,Chandigarh,Search Engine Optimization ,3257
1258,2258,Delhi,Search Engine Optimization ,3258
1259,2259,Noida,Search Engine Optimization ,3259
1260,2260,Pune,Search Engine Optimization ,3260
1261,2261,Pune,Security Engineer,3261
1262,2262,Pune,Security Engineer,3262
1263,2263,Mumbai,Security Services,3263
1264,2264,Patna,Senior  Manager,3264
1265,2265,Chennai,Senior Analyst,3265
1266,2266,Hyderabad,Senior API Developer,3266
1267,2267,Mumbai,Senior Executive ,3267
1268,2268,Odisha,Senior Executive ,3268
1269,2269,Navi Mumbai,SEO Executive,3269
1270,2270,Shaikpet,SEO Executive,3270
1271,2271,Ahmedabad,SEO Executive,3271
1272,2272,Sahibzada Ajit Singh Nagar,SEO Fresher,3272
1273,2273,Greater Kolkata Area,SEO Internship ,3273
1274,2274,Indore,SEO Specialist,3274
1275,2275,Mumbai,Social  Media Content ,3275
1276,2276,Mumbai,Social  Media internship,3276
1277,2277,Gurgaon,Social  Media internship,3277
1278,2278,Ahmedabad,Social  Media internship,3278
1279,2279,Bengaluru,Social  Media internship,3279
1280,2280,Gurgaon,Social  Media internship,3280
1281,2281,Gurgaon,Social  Media internship,3281
1282,2282,Mumbai,Social  Media internship,3282
1283,2283,Pune,Social  Media marketing,3283
1284,2284,Mumbai,Social Media Marketing ,3284
1285,2285,Bengaluru,Software Engineer Development ,3285
1286,2286,Bengaluru,Software Engineer Development or Testing,3286
1287,2287,Bengaluru,Sr Associate Software Engineer,3287
1288,2288,Uttar Pradesh,Sr Engi mid-senior level,3288
1289,2289,Mumbai,Sr. Ass mid-senior level,3289
1290,2290,Bengaluru,Sr. Executive - Customer Relations,3290
1291,2291,Mumbai,Sr. HR  associate,3291
1292,2292,Chennai,Strategic Account Manager,3292
1293,2293,Pune,Strategic Intelligence Analyst,3293
1294,2294,Bengaluru,Student internship,3294
1295,2295,Indore,Tech Development ,3295
1296,2296,Bengaluru,Technical Manage,3296
1297,2297,Jamnagar,Technical Officer ,3297
1298,2298,Mumbai,Technology Program Manager,3298
1299,2299,Delhi,Telecallers,3299
1300,2300,Delhi,Telecalling Internship ,3300
1301,2301,Delhi,TELESALES REPRESENTATIVES,3301
1302,2302,Navi Mumbai,Transaction Monitoring specialist ,3302
1303,2303,Mumbai,Treasury Markets and Investments,3303
1304,2304,Bengaluru,UI Engineer ,3304
1305,2305,Gurgaon,Video And Contant editing ,3305
1306,2306,Delhi,Video Making,3306
1307,2307,Delhi,Video Making,3307
1308,2308,Mumbai,Web Dev internship,3308
1309,2309,Noida,Web Dev internship,3309
1310,2310,Pune,Web Dev internship,3310
1311,2311,Surat,Web Dev internship,3311
1312,2312,Delhi,Wipro contact trainers,3312
1313,2313,Chennai,Workforce Management Specialist,3313
