Details_Id,Involvement,Levels,Total_Applicant
3232,Full-Time,Entry level,5
3233,Full-Time,Mid-Senior level,5
3234,Full-Time,Internship,5
3235,Full-Time,Mid-Senior level,1
3236,Full-Time,Mid-Senior level,1
3237,Full-Time,Mid-Senior level,5
3238,Full-Time,Director,5
3239,Contract ,Mid-Senior level,2
3240,Full-Time,Mid-Senior level,1
3241,Full-Time,Mid-Senior level,1
3242,Full-Time,Associate,1
3243,Full-Time,Mid-Senior level,5
3244,Full-Time,Internship,2
3245,Full-Time,Associate,1
3246,Full-Time,Entry level,1
3247,Full-Time,Entry level,1
3248,Full-Time,Entry level,1
3249,Full-Time,Entry level,5
3250,Full-Time,Entry level,1
3251,Full-Time,Mid-Senior level,5
3252,Part-Time,Internship,1
3253,Full-Time,Entry level,1
3254,Full-Time,Associate,1
3255,Full-Time,Entry level,5
3256,Full-Time,Mid-Senior level,1
3257,Full-Time,Internship,1
3258,Full-Time,Internship,1
3259,Full-Time,Internship,1
3260,Full-Time,Internship,5
3261,Full-Time,Mid-Senior level,5
3262,Full-Time,Mid-Senior level,1
3263,Full-Time,Mid-Senior level,1
3264,Full-Time,Executive,5
3265,Full-Time,Associate,5
3266,Full-Time,Mid-Senior level,1
3267,Full-Time,Mid-Senior level,1
3268,Full-Time,Associate,1
3269,Full-Time,Mid-Senior level,1
3270,Full-Time,Mid-Senior level,5
3271,Full-Time,Mid-Senior level,5
3272,Full-Time,Internship,1
3273,Full-Time,Internship,1
3274,Full-Time,Mid-Senior level,5
3275,Full-Time,Internship,1
3276,Full-Time,Internship,1
3277,Full-Time,Mid-Senior level,1
3278,Full-Time,Internship,1
3279,Full-Time,Internship,5
3280,Full-Time,Internship,1
3281,Full-Time,Internship,1
3282,Full-Time,Internship,1
3283,Full-Time,Internship,1
3284,Full-Time,Internship,5
3285,Full-Time,Entry level,2
3286,Full-Time,Entry level,1
3287,Full-Time,Entry level,1
3288,Full-Time,Mid-Senior level,1
3289,Full-Time,Mid-Senior level,1
3290,Full-Time,Mid-Senior level,1
3291,Full-Time,Associate,1
3292,Full-Time,Mid-Senior level,2
3293,Full-Time,Mid-Senior level,1
3294,Full-Time,Internship,1
3295,Internship,Internship,1
3296,Full-Time,Mid-Senior level,1
3297,Full-Time,Mid-Senior level,1
3298,Full-Time,Mid-Senior level,1
3299,Full-Time,Entry level,1
3300,Full-Time,Internship,1
3301,Full-Time,Entry level,2
3302,Full-Time,Entry level,1
3303,Full-Time,Entry level,1
3304,Full-Time,Entry level,1
3305,Full-Time,Internship,1
3306,Full-Time,Internship,1
3307,Full-Time,Internship,5
3308,Full-Time,Internship,1
3309,Full-Time,Internship,2
3310,Full-Time,Internship,1
3311,Full-Time,Internship,1
3312,Contract ,Mid-Senior level,1
3313,Full-Time,Mid-Senior level,5
